EURUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
07/30/2024 00:00,1.08189,1.0836,1.0798,1.08031,-15.8,-0.15% 
05/09/2024 00:00,1.07465,1.07859,1.0723,1.07819,35.4,0.33,
05/08/2024 00:00,1.07498,1.07576,1.07348,1.0747,-2.8,-0.03,
05/07/2024 00:00,1.07703,1.07875,1.07463,1.075,-20.3,-0.19,
05/06/2024 00:00,1.07581,1.0791,1.0754,1.0769,10.9,0.10,
05/05/2024 00:00,1.07622,1.07644,1.0757,1.07581,-4.1,-0.04,
05/03/2024 00:00,1.07299,1.08116,1.0723,1.07599,30.0,0.28,
05/02/2024 00:00,1.07174,1.0732,1.0673,1.07297,12.3,0.11,
05/01/2024 00:00,1.06658,1.0733,1.0648,1.07172,51.4,0.48,
04/30/2024 00:00,1.07146,1.07353,1.0663,1.06655,-49.1,-0.46,
04/29/2024 00:00,1.07069,1.0734,1.0688,1.07141,7.2,0.07,
04/28/2024 00:00,1.06914,1.0707,1.06901,1.0705,13.6,0.13,
04/26/2024 00:00,1.07265,1.07528,1.0672,1.07,-26.5,-0.25,
04/25/2024 00:00,1.07,1.07393,1.0677,1.07263,26.3,0.25,
04/24/2024 00:00,1.07023,1.07142,1.0677,1.06992,-3.1,-0.03,
04/23/2024 00:00,1.06537,1.07112,1.0637,1.0703,49.3,0.46,
04/22/2024 00:00,1.06575,1.0671,1.0623,1.06533,-4.2,-0.04,
04/21/2024 00:00,1.06544,1.06609,1.06537,1.06573,2.9,0.03,
04/19/2024 00:00,1.06423,1.0678,1.0609,1.0669,26.7,0.25,
04/18/2024 00:00,1.06687,1.0691,1.0638,1.06428,-25.9,-0.24,
04/17/2024 00:00,1.06207,1.06797,1.06058,1.06684,47.7,0.45,
04/16/2024 00:00,1.06249,1.0654,1.0576,1.0621,-3.9,-0.04,
04/15/2024 00:00,1.06459,1.06652,1.0619,1.0623,-22.9,-0.22,
04/14/2024 00:00,1.06338,1.0651,1.0632,1.06458,12.0,0.11,
04/12/2024 00:00,1.07259,1.0729,1.0622,1.067,-55.9,-0.52,
04/11/2024 00:00,1.0739,1.0757,1.0698,1.0724,-15,-0.14,
04/10/2024 00:00,1.08587,1.0866,1.0727,1.0741,-117.7,-1.10,
04/09/2024 00:00,1.08621,1.08851,1.0846,1.08585,-3.6,-0.03,
04/08/2024 00:00,1.08295,1.0864,1.0819,1.08615,32.0,0.29,
04/07/2024 00:00,1.08365,1.0837,1.0827,1.08297,-6.8,-0.06,
04/05/2024 00:00,1.08363,1.0848,1.079,1.0848,11.7,0.11,
